random_rank,attempt_number,doi,version,preprint_date,category,title,fulltext_ok,fulltext_source,fulltext_url,paper_url,doi_url,result_rows_for_paper,failure_reason,processed_at_utc
54,54,10.1101/2022.08.29.505695,1,2022-08-29,evolutionary biology,Genetic variance and indirect genetic effects for affiliative social behavior in a wild primate,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/29/2022.08.29.505695.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.29.505695,https://doi.org/10.1101/2022.08.29.505695,0,,2026-07-18T01:48:45.565281+00:00
55,55,10.1101/2019.12.13.875633,2,2022-02-17,microbiology,SEC is an anti-angiogenic virulence factor that promotes Staphylococcus aureus Infective Endocarditis Independent of Superantigen Activity,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/17/2019.12.13.875633.source.xml,https://www.biorxiv.org/content/10.1101/2019.12.13.875633,https://doi.org/10.1101/2019.12.13.875633,5,,2026-07-18T01:49:03.311112+00:00
56,56,10.1101/2022.02.04.478773,2,2022-04-20,bioengineering,Brain strain rate response: addressing computational ambiguity and experimental data for model validation,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/20/2022.02.04.478773.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.04.478773,https://doi.org/10.1101/2022.02.04.478773,0,,2026-07-18T01:49:20.056454+00:00
57,57,10.1101/2022.01.27.478048,2,2022-12-18,neuroscience,Sensing Echoes: Temporal Misalignment in Auditory Brainstem Responses as the Earliest Marker of Neurodevelopmental Derailment,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/18/2022.01.27.478048.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.27.478048,https://doi.org/10.1101/2022.01.27.478048,0,,2026-07-18T01:49:35.304027+00:00
58,58,10.1101/2022.02.25.482027,1,2022-02-25,microbiology,Active site mutations in the bacterial actin homolog FtsA impair direct interactions with the divisome in Escherichia coli,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/25/2022.02.25.482027.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.25.482027,https://doi.org/10.1101/2022.02.25.482027,3,,2026-07-18T01:49:53.638213+00:00
59,59,10.1101/2022.02.11.479024,1,2022-02-11,neuroscience,A single-cell resolution gene expression atlas of the larval zebrafish brain,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/11/2022.02.11.479024.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.11.479024,https://doi.org/10.1101/2022.02.11.479024,2,,2026-07-18T01:50:04.967111+00:00
60,60,10.1101/2022.02.09.479806,1,2022-02-10,biophysics,Mechanical feedback controls the emergence of dynamical memory in growing tissue monolayers,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/10/2022.02.09.479806.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.09.479806,https://doi.org/10.1101/2022.02.09.479806,0,,2026-07-18T01:50:23.844295+00:00
61,61,10.1101/2022.09.15.507041,1,2022-09-17,bioinformatics,TandemAligner: a new parameter-free framework for fast sequence alignment,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/17/2022.09.15.507041.source.xml,https://www.biorxiv.org/content/10.1101/2022.09.15.507041,https://doi.org/10.1101/2022.09.15.507041,1,,2026-07-18T01:50:42.512633+00:00
62,62,10.1101/2022.08.04.502825,1,2022-08-05,bioinformatics,Transcriptomic forecasting with neural ODEs,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/05/2022.08.04.502825.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.04.502825,https://doi.org/10.1101/2022.08.04.502825,0,,2026-07-18T01:51:00.244792+00:00
63,63,10.1101/2022.07.12.499770,1,2022-07-14,developmental biology,Evolution of the regulation of developmental gene expression in blind Mexican cavefish,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/14/2022.07.12.499770.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.12.499770,https://doi.org/10.1101/2022.07.12.499770,2,,2026-07-18T01:51:15.154485+00:00
64,64,10.1101/2022.10.26.513888,1,2022-10-26,microbiology,Survey of the Phytophthora species diversity reveals P. europaea-like isolates as Phytophthora root rot pathogens in Quebec Christmas tree plantations,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/26/2022.10.26.513888.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.26.513888,https://doi.org/10.1101/2022.10.26.513888,2,,2026-07-18T01:51:27.749821+00:00
65,65,10.1101/2022.04.04.486993,1,2022-04-05,ecology,"Climate change will redefine taxonomic, functional, and phylogenetic diversity patterns of Odonata in space and time",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/05/2022.04.04.486993.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.04.486993,https://doi.org/10.1101/2022.04.04.486993,0,,2026-07-18T01:51:39.337746+00:00
